Date,SKU,Quantity,TransactionType,Notes
5/16/2025,17612,528,Receive,Unknown
5/20/2025,17612,576,Receive,
5/25/2025,17612,576,Receive,
5/2/2025,17612,382,Receive,
5/12/2025,17612,5,Repack,
5/12/2025,17612,2,Repack,
5/12/2025,17914,14,Repack,
6/18/2025,17612,576,Receive,250172
6/23/2025,17612,376,Receive,250172
6/4/2025,17612,478,Receive,250101
7/1/2025,17612,576,Receive,250195
7/3/2025,17612,576,Receive,250195
7/9/2025,17612,576,Receive,250195
7/9/2025,18795,933,Receive,11001
7/9/2025,18795,935,Receive,11002
7/9/2025,18795,1018,Receive,11003
7/9/2025,18795,1034,Receive,11004
7/9/2025,18795,556,Receive,11005
7/9/2025,18795,996,Receive,11006
7/9/2025,18795,766,Receive,11007
7/11/2025,17612,426,Receive,250195
7/11/2025,17612,9,Repack,250101
7/16/2025,18795,996,Receive,11008
7/16/2025,18795,594,Receive,11009
7/21/2025,17612,0,Adjust Up,TEST
7/21/2025,17612,0,Adjust Down,TEST
7/30/2025,17612,576,Receive,250216
7/31/2025,17612,576,Receive,250216
8/5/2025,17612,576,Receive,250216
8/12/2025,17612,430,Receive,250216
8/27/2025,17612,576,Receive,250237
8/27/2025,17612,576,Receive,250237
8/29/2025,17612,432,Receive,250237
9/3/2025,17914,6,Repack,240286
9/3/2025,17612,4,Repack,250195
9/10/2025,17612,384,Receive,250237
9/12/2025,17914,680,Receive,250297
